code,name,description,refreshed_at,from_date,to_date
PROVIMROL,"Stock Prices for PROVIMROL, ISIN PLRLMPX00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PROVIMROL<br><br>ISIN: PLRLMPX00012<br><br>Currency: PLN,2016-09-12 19:49:01,1994-10-18,2007-08-08
PSG,"Stock Prices for PSG, ISIN PLTHP0000011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PSG<br><br>ISIN: PLTHP0000011<br><br>Currency: PLN,2016-09-07 18:52:34,2015-09-14,2016-08-05
PTI,"Stock Prices for PTI, ISIN PLPTIW000014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PTI<br><br>ISIN: PLPTIW000014<br><br>Currency: PLN,2016-09-12 16:29:19,2010-12-01,2015-12-11
PULAWY,"Stock Prices for PULAWY, ISIN PLZAPUL00057, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PULAWY<br><br>ISIN: PLZAPUL00057<br><br>Currency: PLN,2020-04-24 18:30:34,2005-11-22,2020-04-24
PWRMEDIA,"Stock Prices for PWRMEDIA, ISIN PLPWRMD00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PWRMEDIA<br><br>ISIN: PLPWRMD00011<br><br>Currency: PLN,2017-06-12 19:01:23,2008-05-06,2017-06-07
PZU,"Stock Prices for PZU, ISIN PLPZU0000011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: PZU<br><br>ISIN: PLPZU0000011<br><br>Currency: PLN,2020-04-24 18:30:34,2010-05-12,2020-04-24
QUANTUM,"Stock Prices for QUANTUM, ISIN PLQNTUM00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: QUANTUM<br><br>ISIN: PLQNTUM00018<br><br>Currency: PLN,2020-04-24 18:30:34,2007-09-25,2020-04-24
QUERCUS,"Stock Prices for QUERCUS, ISIN PLQRCUS00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: QUERCUS<br><br>ISIN: PLQRCUS00012<br><br>Currency: PLN,2020-04-24 18:30:34,2011-03-30,2020-04-24
QUMAK,"Stock Prices for QUMAK, ISIN PLQMKSK00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: QUMAK<br><br>ISIN: PLQMKSK00017<br><br>Currency: PLN,2019-08-21 18:30:39,2013-02-08,2019-08-21
QUMAKSEK,"Stock Prices for QUMAKSEK, ISIN PLQMKSK00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: QUMAKSEK<br><br>ISIN: PLQMKSK00017<br><br>Currency: PLN,2016-09-12 16:58:59,2006-08-03,2013-02-07
R22,"Stock Prices for R22, ISIN PLR220000018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: R22<br><br>ISIN: PLR220000018<br><br>Currency: PLN,2020-04-24 18:30:34,2017-12-29,2020-04-24
RADPOL,"Stock Prices for RADPOL, ISIN PLRDPOL00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RADPOL<br><br>ISIN: PLRDPOL00010<br><br>Currency: PLN,2020-04-24 18:30:34,2007-05-10,2020-04-24
RAFAKO,"Stock Prices for RAFAKO, ISIN PLRAFAK00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RAFAKO<br><br>ISIN: PLRAFAK00018<br><br>Currency: PLN,2020-04-24 18:30:34,1994-03-07,2020-04-24
RAFAMET,"Stock Prices for RAFAMET, ISIN PLRFMET00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RAFAMET<br><br>ISIN: PLRFMET00016<br><br>Currency: PLN,2020-04-24 18:30:34,2007-06-25,2020-04-24
RAINBOW,"Stock Prices for RAINBOW, ISIN PLRNBWT00031, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RAINBOW<br><br>ISIN: PLRNBWT00031<br><br>Currency: PLN,2020-04-24 18:30:34,2007-11-22,2020-04-24
RANKPROGR,"Stock Prices for RANKPROGR, ISIN PLRNKPR00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: RANKPROGR<br><br>ISIN: PLRNKPR00014<br><br>Currency: PLN,2020-04-24 18:30:34,2010-07-22,2020-04-24
